"","Authors","Title","Year","Source.title","DOI","Abstract","Title2","Abstract2"
"1021","Kremen C., Williams N.M., Aizen M.A., Gemmill-Herren B., LeBuhn G., Minckley R., Packer L., Potts S.G., Roulston T., Steffan-Dewenter I., Vázquez D.P., Winfree R., Adams L., Crone E.E., Greenleaf S.S., Keitt T.H., Klein A.-M., Regetz J., Ricketts T.H.","pollination and other ecosystem services produced by mobile organisms: a conceptual framework for the effects of land-use change",2007,"Ecology Letters","10.1111/j.1461-0248.2007.01018.x","Many ecosystem services are delivered by organisms that depend on habitats that are segregated spatially or temporally from the location where services are provided. Management of mobile organisms contributing to ecosystem services requires consideration not only of the local scale where services are delivered, but also the distribution of resources at the landscape scale, and the foraging ranges and dispersal movements of the mobile agents. We develop a conceptual model for exploring how one such mobile-agent-based ecosystem service (MABES), pollination, is affected by land-use change, and then generalize the model to other MABES. The model includes interactions and feedbacks among policies affecting land use, market forces and the biology of the organisms involved. Animal-mediated pollination contributes to the production of goods of value to humans such as crops; it also bolsters reproduction of wild plants on which other services or service-providing organisms depend. About one-third of crop production depends on animal pollinators, while 60-90% of plant species require an animal pollinator. The sensitivity of mobile organisms to ecological factors that operate across spatial scales makes the services provided by a given community of mobile agents highly contextual. Services vary, depending on the spatial and temporal distribution of resources surrounding the site, and on biotic interactions occurring locally, such as competition among pollinators for resources, and among plants for pollinators. The value of the resulting goods or services may feed back via market-based forces to influence land-use policies, which in turn influence land management practices that alter local habitat conditions and landscape structure. Developing conceptual models for MABES aids in identifying knowledge gaps, determining research priorities, and targeting interventions that can be applied in an adaptive management context. © 2007 Blackwell Publishing Ltd/CNRS.","pollination and other ecosystem services produced by mobile organisms: a","Many ecosystem services are delivered by organisms that depend on"
"1134","Kremen C., Williams N.M., Bugg R.L., Fay J.P., Thorp R.W.","the area requirements of an ecosystem service: crop pollination by native bee communities in california",2004,"Ecology Letters","10.1111/j.1461-0248.2004.00662.x","Managing ecosystem services is critical to human survival, yet we do not know how large natural areas must be to support these services. We investigated how crop pollination services provided by native, unmanaged, bee communities varied on organic and conventional farms situated along a gradient of isolation from natural habitat. Pollination services from native bees were significantly, positively related to the proportion of upland natural habitat in the vicinity of farm sites, but not to any other factor studied, including farm type, insecticide usage, field size and honeybee abundance. The scale of this relationship matched bee foraging ranges. Stability and predictability of pollination sendees also increased with increasing natural habitat area. This strong relationship between natural habitat area and pollination services was robust over space and time, allowing prediction of the area needed to produce a given level of pollination services by wild bees within this landscape.","the area requirements of an ecosystem service: crop pollination by","Managing ecosystem services is critical to human survival, yet we"
"772","Krewenka K.M., Holzschuh A., Tscharntke T., Dormann C.F.","landscape elements as potential barriers and corridors for bees, wasps and parasitoids",2011,"Biological Conservation","10.1016/j.biocon.2011.03.014","Habitat loss and fragmentation in agricultural landscapes lead to severe declines of abundance and richness of many insect species in the remaining isolated semi-natural habitats. We analysed possible barrier effects of large hedges and corridor effects of narrow grass strips that were hypothesized to affect foraging and dispersal of hymenopterans. We selected calcareous grasslands in the vicinity of Göttingen (Germany), which harbour high Hymenoptera diversity and are starting points for foraging and dispersal in the landscape. We installed pan traps to sample bees (i) on the grasslands; (ii) on grassland edges behind adjacent hedges (potential barriers) and without hedges; (iii) on grass strips in 100. m distance to the grassland, which were connected or unconnected to the grassland; and (iv) unconnected (isolated) grass strips in 300. m and 750. m distance to test for corridor and isolation effects on abundance and species richness of foraging wild bees. Additionally we provided trap nests for bees, wasps and their parasitoids on the grasslands and the strips. Species abundance and richness declined with increasing isolation from grasslands for foraging solitary bees, trap-nesting bees, wasps and parasitoids, but not for foraging bumblebees. Hedges did not confine movement of foraging bees. We found no mitigating effects of (100. m) corridor strips on any of the observed groups. We conclude that conservation of semi-natural habitats as sources of bee and wasp diversity is important and that grass strips act as sinks rather than corridors when high quality patches are nearby. © 2011 Elsevier Ltd.","landscape elements as potential barriers and corridors for bees, wasps","Habitat loss and fragmentation in agricultural landscapes lead to severe"
"1167","Kreyer D., Oed A., Walther-Hellwig K., Frankl R.","are forests potential landscape barriers for foraging bumblebees? landscape scale experiments with bombus terrestris agg. and bombus pascuorum (hymenoptera, apidae)",2004,"Biological Conservation","10.1016/S0006-3207(03)00182-4","Habitat fragmentation is generally considered to have detrimental effects on insect movement and associated pollen flow between plant populations. Against this background the role of forests as potential barriers for foraging bumblebees of the species Bombus terrestris agg. and Bombus pascuorum was studied in different experiments. Bombus terrestris agg. workers were found foraging at distances of up to 2.2 km from their nests. B. terrestris agg. as well as B. pascuorum individuals crossed 600 m of forestland between floral mass resources (Phacelia tanacetifolia, Helianthus annuus), although in general a high degree of site fidelity was observed. B. pascuorum workers accepted artificial floral resources within the forest, whereas the minor use of resources below forest canopy observed for B. terrestris agg. possibly indicates a preference for direct forage flights, probably leading above the forest canopy. Our results warn against experiments with genetically modified crop species with potential bumblebee pollination (e.g. Brassica napus), in which an isolating effect of forests is assumed. © 2003 Elsevier Ltd. All rights reserved.","are forests potential landscape barriers for foraging bumblebees? landscape scale","Habitat fragmentation is generally considered to have detrimental effects on"
"68","Kriebel R., Drew B.T., Drummond C.P., González-Gallegos J.G., Celep F., Mahdjoub M.M., Rose J.P., Xiang C.-L., Hu G.-X., Walker J.B., Lemmon E.M., Lemmon A.R., Sytsma K.J.","tracking temporal shifts in area, biomes, and pollinators in the radiation of salvia (sages) across continents: leveraging anchored hybrid enrichment and targeted sequence data",2019,"American Journal of Botany","10.1002/ajb2.1268","Premise of the Study: A key question in evolutionary biology is why some clades are more successful by being widespread geographically, biome diverse, or species-rich. To extend understanding of how shifts in area, biomes, and pollinators impact diversification in plants, we examined the relationships of these shifts to diversification across the mega-genus Salvia. Methods: A chronogram was developed from a supermatrix of anchored hybrid enrichment genomic data and targeted sequence data for over 500 of the nearly 1000 Salvia species. Ancestral areas and biomes were reconstructed using BioGeoBEARS. Pollinator guilds were scored, ancestral pollinators determined, shifts in pollinator guilds identified, and rates of pollinator switches compared. Key Results: A well-resolved phylogenetic backbone of Salvia and updated subgeneric designations are presented. Salvia originated in Southwest Asia in the Oligocene and subsequently dispersed worldwide. Biome shifts are frequent from a likely ancestral lineage utilizing broadleaf and/or coniferous forests and/or arid shrublands. None of the four species diversification shifts are correlated to shifts in biomes. Shifts in pollination system are not correlated to species diversification shifts, except for one hummingbird shift that precedes a major shift in diversification near the crown of New World subgen. Calosphace. Multiple reversals back to bee pollination occurred within this hummingbird clade. Conclusions: Salvia diversified extensively in different continents, biomes, and with both bee and bird pollinators. The lack of tight correlation of area, biome, and most pollinator shifts to the four documented species diversification shifts points to other important drivers of speciation in Salvia. © 2019 Botanical Society of America","tracking temporal shifts in area, biomes, and pollinators in the","Premise of the Study: A key question in evolutionary biology"
"185","Krishna S., Keasar T.","morphological complexity as a floral signal: from perception by insect pollinators to co-evolutionary implications",2018,"International Journal of Molecular Sciences","10.3390/ijms19061681","Morphologically complex flowers are characterized by bilateral symmetry, tube-like shapes, deep corolla tubes, fused petals, and/or poricidal anthers, all of which constrain the access of insect visitors to floral nectar and pollen rewards. Only a subset of potential pollinators, mainly large bees, learn to successfully forage on such flowers. Thus, complexity may comprise a morphological filter that restricts the range of visitors and thereby increases food intake for successful foragers. Such pollinator specialization, in turn, promotes flower constancy and reduces cross-species pollen transfer, providing fitness benefits to plants with complex flowers. Since visual signals associated with floral morphological complexity are generally honest (i.e., indicate food rewards), pollinators need to perceive and process them. Physiological studies show that bees detect distant flowers through long-wavelength sensitive photoreceptors. Bees effectively perceive complex shapes and learn the positions of contours based on their spatial frequencies. Complex flowers require long handling times by naive visitors, and become highly profitable only for experienced foragers. To explore possible pathways towards the evolution of floral complexity, we discuss cognitive mechanisms that potentially allow insects to persist on complex flowers despite low initial foraging gains, suggest experiments to test these mechanisms, and speculate on their adaptive value. © 2018 by the authors. Licensee MDPI, Basel, Switzerland.","morphological complexity as a floral signal: from perception by insect","Morphologically complex flowers are characterized by bilateral symmetry, tube-like shapes,"
"154","Krishna S., Somanathan H.","intersexual mimicry and flowering phenology facilitate pollination in a dioecious habitat specialist species, myristica fatua (myristicaceae)",2018,"Plant Ecology","10.1007/s11258-018-0875-6","Myristica fatua is a dioecious specialist species restricted to the endangered, freshwater Myristica swamp forests in the Western Ghats, India. Earlier studies have alluded to pollination by deception in members of the Myristica genus, and thus we examined the pollination ecology comprising floral biology, flower production, flower visitors, and reproductive success in M. fatua and inferred the potential strategies that could permit such deception in this habitat specialist tree. Male flowers provide pollen rewards for an extended period of time while female flowers are rewardless and both sexes are visited by generalist insects, mainly by honeybees and stingless bees. Bee visits were significantly more frequent and longer on male than on female flowers as bees collected pollen from male flowers. We found that flower production patterns create a preponderance of males compared to females in the swamp populations. Using a model of honeybee color vision, we found the distance between the color loci of male and female flowers and based on minimum visual angle subtended by these flowers, we suggest that the two floral sexes cannot be discriminated by bees. Bees are likely deceived by the perceptual similarity of rewardless female flowers to pollen-offering male flowers and pollination is the consequence of foraging errors made by pollinators that encounter largely male–rarely female flower mosaics as they forage among clump-distributed M. fatua trees in the swamp habitat. © 2018, Springer Nature B.V.","intersexual mimicry and flowering phenology facilitate pollination in a dioecious","Myristica fatua is a dioecious specialist species restricted to the"
"1275","Kron P., Husband B.C., Kevan P.G.","across- and along-row pollen dispersal in high-density apple orchards: insights from allozyme markers",2001,"Journal of Horticultural Science and Biotechnology","10.1080/14620316.2001.11511365","The organization of most high-density orchards of apple (Malus x domestica Borkh.) into single-cultivar rows is often viewed as an impediment to effective pollen dispersal and pollination; however, few direct estimates of pollen dispersal are available to assess the extent of this problem. We estimated the magnitude of pollen dispersal across rows (pollinator cultivars: Idared, Vista Bella, Granny Smith), and along rows, (pollinator cultivars Fuji, Paulared, Golden Russet), in two high-density orchards in Ontario, Canada. Fruit were sampled from trees at regular intervals along transects that extended beyond (either across or along row) each pollinator cultivar and the percentage of seeds that were sired by the pollen donor was estimated using allozyme markers. Seeds sired by the pollinator cultivar were found from seven ('Granny Smith') to 18 rows ('Idared') from the nearest pollinator tree and from seven ('Fuji', 'Paulared') to five trees ('Granny Smith') down the same row. Measured in metres, the maximum pollen dispersal distance was greater across rows (62.4 m) than along rows (13.7 m). However, the average dispersal distance across rows, expressed in metres or trees, (17.4 m ± 3.6, ± + 0.7 trees) did not differ from that along rows (5.8 m ± 4.1, 2.7 ± 0.8 trees). These results are at odds with previous studies that indicate that honeybees move farther along rows than across, and have important implications for the design of commercial apple orchards.","across- and along-row pollen dispersal in high-density apple orchards: insights","The organization of most high-density orchards of apple (Malus x"
"982","Kropf M., Renner S.S.","pollinator-mediated selfing in two deceptive orchids and a review of pollinium tracking studies addressing geitonogamy",2008,"Oecologia","10.1007/s00442-007-0919-4","Among the factors thought to have favoured the evolution of deception (rewardlessness) in orchids is the reduction of pollinator-mediated selfing when unrewarded pollinators visit fewer flowers per inflorescence. We obtained data on natural levels of geitonogamy in the deceptive orchids Dactylorhiza sambucina and Himantoglossum hircinum by monitoring the dispersal and receipt of colour-coded pollinia. As donors, we marked 185 flowers of D. sambucina and 956 flowers of H. hircinum. In D. sambucina, 30% of the pollinator-visited flowers and 62% of the marked inflorescences experienced geitonogamous pollination events. In H. hircinum, the respective percentages were 36 and 71%. The furthest pollen transport distance in the Andrena-pollinated H. hircinum was 6.9 m (median 1.27 m), while the furthest transport in the bumblebee-pollinated D. sambucina was 176 m (median 1.23 m), a record in Orchidaceae. An analysis of pollen-tracking studies in orchids revealed geitonogamy levels of around 40% (based on individuals; 19-37% based on flowers) in both rewardless species and rewarding ones. This is similar to geitonogamy levels in other animal-pollinated angiosperms, although the data basis for comparison may still be too small. So far, however, it is not evident that rewardless orchids experience particularly low levels of geitonogamy. © 2007 Springer-Verlag.","pollinator-mediated selfing in two deceptive orchids and a review of","Among the factors thought to have favoured the evolution of"
"725","Krupke C.H., Hunt G.J., Eitzer B.D., Andino G., Given K.","multiple routes of pesticide exposure for honey bees living near agricultural fields",2012,"PLoS ONE","10.1371/journal.pone.0029268","Populations of honey bees and other pollinators have declined worldwide in recent years. A variety of stressors have been implicated as potential causes, including agricultural pesticides. Neonicotinoid insecticides, which are widely used and highly toxic to honey bees, have been found in previous analyses of honey bee pollen and comb material. However, the routes of exposure have remained largely undefined. We used LC/MS-MS to analyze samples of honey bees, pollen stored in the hive and several potential exposure routes associated with plantings of neonicotinoid treated maize. Our results demonstrate that bees are exposed to these compounds and several other agricultural pesticides in several ways throughout the foraging period. During spring, extremely high levels of clothianidin and thiamethoxam were found in planter exhaust material produced during the planting of treated maize seed. We also found neonicotinoids in the soil of each field we sampled, including unplanted fields. Plants visited by foraging bees (dandelions) growing near these fields were found to contain neonicotinoids as well. This indicates deposition of neonicotinoids on the flowers, uptake by the root system, or both. Dead bees collected near hive entrances during the spring sampling period were found to contain clothianidin as well, although whether exposure was oral (consuming pollen) or by contact (soil/planter dust) is unclear. We also detected the insecticide clothianidin in pollen collected by bees and stored in the hive. When maize plants in our field reached anthesis, maize pollen from treated seed was found to contain clothianidin and other pesticides; and honey bees in our study readily collected maize pollen. These findings clarify some of the mechanisms by which honey bees may be exposed to agricultural pesticides throughout the growing season. These results have implications for a wide range of large-scale annual cropping systems that utilize neonicotinoid seed treatments. © 2012 Krupke et al.","multiple routes of pesticide exposure for honey bees living near","Populations of honey bees and other pollinators have declined worldwide"
"561","Ksiazek K., Tonietto R., Ascher J.S.","ten bee species new to green roofs in the chicago area",2014,"Great Lakes Entomologist","","Green roofs increasingly provide habitat for many insects in urban environments. Pollinators such as bees may utilize foraging and nesting resources provided by green roofs but few studies have documented which species occur in these novel habitats. This study identified bees from 26 species, 11 genera and 5 families collected from 7 green roofs using pan trapping methods over 2 years. Ten of these species have not previously been recorded on green roofs in the Chicago region. Although the majority of bee species collected were solitary, soil-nesting, and native to Illinois, the proportion of exotic species was high compared to previous collections from Chicago area green roofs and urban parks. Urban green roofs may enhance populations of both native and exotic bees, but their ability to support the same range of native diversity recorded from other urban habitats requires further investigation. © 2014. The Michigan Entomological Society.","ten bee species new to green roofs in the chicago","Green roofs increasingly provide habitat for many insects in urban"
"1186","Kucharski R., Maleszka R.","transcriptional profiling reveals multifunctional roles for transferrin in the honeybee, apis mellifera",2003,"Journal of Insect Science","","Transferrins belong to a family of iron-binding proteins that have been implicated in innate immunity and in vitellogenesis in insects. Here we have sequenced and characterized a full-length cDNA encoding a putative iron-binding transferrin (AmTRF) in the honeybee. AmTRF shows high level of sequence identity with transferrins in both vertebrates and insects (26-46%) suggesting that the primary function of the predicted 712 amino acid protein is binding and transporting of iron. AmTRF is expressed ubiquitously, but particularly high levels of its mRNA are found in the central brain and in the compound eye. Using northern blotting and a microarray based approach we have examined the levels of AmTRF mRNA by expression profiling under a wide range of conditions including developmental stages, septic injury and juvenile hormone treatment. Increased expression of AmTRF is seen during early pupal stages, in the brain of mature foragers and in the abdomen of virgin queens, whereas treatment with juvenile hormone leads to a decrease of AmTRF levels in the abdomen. We show that a transcriptional response of transferrin to septic injury with E. coli is relatively moderate as compared to a dramatic up-regulation of an antibacterial polypeptide, Hymenoptaecin, under similar conditions. We conclude that major fluctuations of AmTRF mRNA in time and space are consistent with context-dependent functional significance and suggest broader multifunctional roles for transferrin in insects.","transcriptional profiling reveals multifunctional roles for transferrin in the honeybee,","Transferrins belong to a family of iron-binding proteins that have"
"806","Kudo G., Hirao A.S., Kawai Y.","pollination efficiency of bumblebee queens and workers in the alpine shrub rhododendron aureum",2011,"International Journal of Plant Sciences","10.1086/657282","Rhododendron aureum is a weakly self-compatible alpine shrub pollinated by bumblebees. Flower visitation frequency and foraging behavior differed between queen bumblebees and workers. Queens exhibited less frequent flower visits, longer flight distances between inflorescences, and a smaller number of sequential inflorescence visits within patches than did worker bees. Flowering in early-snowmelt populations occurred in June, when only overwintered queens were available, while flowering in late-snowmelt populations occurred from late July to August, when frequent visits by workers were common. The fruit to flower ratio per inflorescence was lower in early-snowmelt populations due to quantitative pollen limitation, while the seed to ovule ratio per fruit was lower in late-snowmelt populations. This is because geitonogamous pollination by workers was common later in the season, which resulted in a high abortion rate of self-pollinated seeds, that is, qualitative pollen limitation. Thus, pollination efficiency, or the type of pollen limitation, shifts during the flowering season, reflecting the seasonal life cycle of bumblebees in the ecosystem. Many of the self-fertilized seeds aborted due to high inbreeding depression, and the outcrossing rate was ;80% regardless of season. © 2011 by The University of Chicago. All rights reserved.","pollination efficiency of bumblebee queens and workers in the alpine","Rhododendron aureum is a weakly self-compatible alpine shrub pollinated by"
"1690","Kudo, G; Cooper, EJ","when spring ephemerals fail to meet pollinators: mechanism of phenological mismatch and its impact on plant reproduction",2019,"PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","10.1098/rspb.2019.0573","The flowering phenology of early-blooming plants is largely determined by snowmelt timing in high-latitude and high-altitude ecosystems. When the synchrony of flowering and pollinator emergence is disturbed by climate change, seed production may be restricted due to insufficient pollination success. We revealed the mechanism of phenological mismatch between a spring ephemeral (Corydalis ambigua) and its pollinator (overwintered bumblebees), and its impact on plant reproduction, based on 19 years of monitoring and a snow removal experiment in a cool-temperate forest in northern Japan. Early snowmelt increased the risk of phenological mismatch under natural conditions. Seed production was limited by pollination success over the 3 years of the pollination experiment and decreased when flowering occurred prior to bee emergence. Similar trends were detected on modification of flowering phenology through snow removal. Following snowmelt, the length of the pre-flowering period strongly depended on the ambient surface temperature, ranging from 4 days (at greater than 7 degrees C) to 26 days (at 2.5 degrees C). Flowering onset was explained with an accumulated surface degree-day model. Bumblebees emerged when soil temperature reached 6 degrees C, which was predictable by an accumulated soil degree-day model, although foraging activity after emergence might depend on air temperature. These results indicate that phenological mismatch tends to occur when snow melts early but subsequent soil warming progresses slowly. Thus, modification of the snowmelt regime could be a major driver disturbing spring phenology in northern ecosystems.","when spring ephemerals fail to meet pollinators: mechanism of phenological","The flowering phenology of early-blooming plants is largely determined by"
"3355","Kudoh, H; Whigham, DF","microgeographic genetic structure and gene flow in hibiscus moscheutos (malvaceae) populations",1997,"AMERICAN JOURNAL OF BOTANY","10.2307/2446054","Microgeographic genetic variation in populations of a wetland macrophyte, Hibiscus moscheutos L. (Malvaceae), was investigated using allozyme polymorphism. The species is a self-compatible insect-pollinated perennial, and seeds are water dispersed (hydrochory). Six hundred plants were analyzed from eight brackish and two freshwater populations within the Rhode River watershed/estuarine system. The genetic structure of the populations was assessed by fixation indices and spatial autocorrelation analyses. The degree of genetic differentiation among sites and gene flow between all paired combinations of sites (M) was analyzed using three hypothetical gene how models. Fixation indices indicated almost complete panmixia within populations, and spatial autocorrelations showed that genotypes were randomly distributed within sites, most likely the result of water dispersal of seeds. Allele frequencies were significantly different among sites, and estimated F-ST indicated moderate genetic differentiation (theta = 0.062). Genetic differences between populations were mostly explained by a gene Bow model that accounted for the location of populations relative to the tidal stream. The importance of hydrochory in affecting spatial genetic structure was thus suggested both within and among H. moscheutos populations.","microgeographic genetic structure and gene flow in hibiscus moscheutos (malvaceae)","Microgeographic genetic variation in populations of a wetland macrophyte, Hibiscus"
"1366","Kuenen L.P.S., Calderone N.W.","transfers of varroa mites from newly emerged bees: preferences for age- and function-specific adult bees (hymenoptera: apidae)",1997,"Journal of Insect Behavior","10.1007/BF02765554","Movements of the parasitic honey bee mite, Varroa jacobsoni (Oud.) were monitored in several assays as they moved among adult host honey bees, Apis mellifera. We examined the propensity of mites to leave their hosts and to move onto new bee hosts. We also examined their preference for bees of different age and hive function. Mites were standardized by selecting mites from newly emerged worker bees (NEWs). In closed jars, 50% of Varroa left NEWs irreversibly when no physical path was present for the mites to return to the NEWs; about 90% of mites left newly emerged drones in identical assays. In petri dish arenas, mites were rarely seen off NEW hosts when monitored at 15-min intervals for 4 h; this was the case for single NEWs with one mite (NEWs+) and when a NEW+ and a NEW- (no mites) were placed together in a petri dish. When a NEW+ was held with either a nurse bee or a pollen forager, 25% of the mites moved to the older bees. When both a nurse and a pollen forager were placed in a petri dish with a NEW+, about 50% of the mites transferred to older bees; nurse bees received about 80% of these mites, whereas pollen foragers received significantly fewer mites (about 20%. P < 0.05). Most mite transfers occurred during the first 30 min after combining NEWs+ and test bees. When NEWs+ were combined with bees of known ages, rather than function, mites transferred more often to young bees than to older bees (1- and 5-day-old bees vs. 25-day-old bees, P < 0.05; 1-day-old vs. 13- and 25-day-old bees; P < 0.05). No differences in proportions of transferring mites were seen when the range of bee ages was ≤ 8 days (P > 0.05), implying that the factors mediating the mites' adult-host preference change gradually with bee age. A possible chemical basis for host choice by Varroa is indicated by their greater propensity to move onto freezer-killed nurse bees than onto freezer-killed pollen foragers (P < 0.05) and by their lower movement onto heat-treated bees than onto control bees (P < 0.05). Bee age, hive function, and directional changes in cuticular chemistry are all correlated. Movements of newly emerged mites in relation to these variables may provide insights into their reproductive success in Apis mellifera colonies.","transfers of varroa mites from newly emerged bees: preferences for","Movements of the parasitic honey bee mite, Varroa jacobsoni (Oud.)"
"2977","Kuhn-Buhlmann, S; Wehner, R","age-dependent and task-related volume changes in the mushroom bodies of visually guided desert ants, cataglyphis bicolor",2006,"JOURNAL OF NEUROBIOLOGY","10.1002/neu.20235","Desert ants of the genus Cataglyphis are skillful long-distance navigators employing a variety of visual navigational tools such as skylight compasses and landmark guidance mechanisms. However, the time during which this navigational toolkit comes into play is extremely short, as the average lifetime of a Cataglyphis forager lasts for only about 6 days. Here we show, by using immunohistochemistry, confocal microscopy, and three-dimensional reconstruction software, that even during this short period of adult life, Cataglyphis exhibits a remarkable increase in the size of its mushroom bodies, especially of the visual input region, the collar, if compared to age-matched dark-reared animals. This task-related increase rides on a much smaller age-dependent increase of the size of the mushroom bodies. Due to the variation in body size exhibited by Cataglyphis workers we use allometric analyses throughout and show that small animals exhibit considerably larger task-related increases in the sizes of their mushroom bodies than larger animals do. It is as if there were an upper limit of mushroom body size required for accomplishing the ant's navigational tasks. (c) 2006 Wiley Periodicals, Inc.","age-dependent and task-related volume changes in the mushroom bodies of","Desert ants of the genus Cataglyphis are skillful long-distance navigators"
"2760","Kuhn-Neto, B; Contrera, FAL; Castro, MS; Nieh, JC","long distance foraging and recruitment by a stingless bee, melipona mandacaia",2009,"APIDOLOGIE","10.1051/apido/2009007","Body size is hypothesized to play a major role in animal foraging, particularly in pollinators. In general, species with larger bodies forage over greater distances. Studies have found support for this body size-foraging range hypothesis across a wide variety of pollinator species, but have not investigated the possibility that this effect also applies within a pollinator species. We trained foragers of the stingless bee Melipona mandacaia to feeders in their native habitat under natural conditions, and found that larger foragers forage at and recruit to significantly greater distances than smaller foragers. The maximum foraging and recruitment distances are significantly greater ( by 24% and 48% respectively) for larger as compared to smaller foragers. We also provide the first direct evidence that stingless bees can forage in their native habitat at distances up to 2.1 km and recruit over 1 km from their nest, recruiting more than 230% farther than previously reported for any stingless bee feeder experiments. Natural size variation among colonies within the same species may play a role in foraging range, and could thus influence plant gene flow and population structure.","long distance foraging and recruitment by a stingless bee, melipona","Body size is hypothesized to play a major role in"
"415","Kulyukin V.A., Putnam M., Reka S.K.","digitizing buzzing signals into a440 piano note sequences and estimating forager traffic levels from images in solar-powered, electronic beehive monitoring",2016,"Lecture Notes in Engineering and Computer Science","","Four multi-sensor, solar-powered, electronic beehive monitoring devices were assembled and deployed over extended periods at two apiaries in Northern Utah to collect 28 gigabytes of audio, temperature, and image data in different weather conditions. An audio processing algorithm is presented for digitizing bee buzzing signals into A440 piano note sequences. The note range detected by the algorithm on a sample of 3421.52 MB of wav data contained the first four octaves, with the lowest note being AO and the highest note being F4#. The detected notes exhibited a cyclic pattern during a 24-hour period. A computer vision algorithm is proposed for estimating forager traffic levels from images. On a sample of 378 images from a deployed beehive monitoring device, the algorithm achieved an accuracy of 73 percent.","digitizing buzzing signals into a440 piano note sequences and estimating","Four multi-sensor, solar-powered, electronic beehive monitoring devices were assembled and"
"409","Kulyukin V.A., Reka S.K.","toward sustainable electronic beehive monitoring: algorithms for omnidirectional bee counting from images and harmonic analysis of buzzing signals",2016,"Engineering Letters","","Two algorithms are presented for omnidirectional bee counting from images to estimate forager traffic levels. An audio processing algorithm is also presented for digitizing bee buzzing signals with harmonic intervals into A440 piano note sequences. The three algorithms were tested on samples collected through four beehive monitoring devices deployed at different apiaries in Northern Utah over extended periods of time. On a sample of 378 images from a deployed beehive monitoring device, the first algorithm for omnidirectional bee counting achieved an accuracy of 73 percent. The second algorithm for omnidirectional bee counting achieved an accuracy of 80.5 percent on a sample of 1005 images with green pads and an accuracy of 85.5 percent on a sample of 776 images with white pads. The note range detected by the proposed audio processing algorithm on a sample of 3421.52 MB of wav data contained the first four octaves, with the lowest note being A0 and the highest note being F#4. Experimental results indicate that computer vision and audio analysis will play increasingly more significant roles in sustainable electronic beehive monitoring devices used by professional and amateur apiarists. © 2016, International Association of Engineers. All rights reserved.","toward sustainable electronic beehive monitoring: algorithms for omnidirectional bee counting","Two algorithms are presented for omnidirectional bee counting from images"
"322","Kumar A., Kumar D., Jarial S.K.","a review on artificial bee colony algorithms and their applications to data clustering",2017,"Cybernetics and Information Technologies","10.1515/cait-2017-0027","Data clustering is an important data mining technique being widely used in numerous applications. It is a method of creating groups (clusters) of objects, in such a way that objects in one cluster are very similar and objects in different clusters are quite distinct, i.e. intra-cluster distance is minimized and inter-cluster distance is maximized. However, the popular conventional clustering algorithms have shortcomings such as dependency on center initialization, slow convergence rate, local optima trap, etc. Artificial Bee Colony (ABC) algorithm is one of the popular swarm based algorithm inspired by intelligent foraging behaviour of honeybees that helps to minimize these shortcomings. In the past, many swarm intelligence based techniques for clustering were introduced and proved their performance. This paper provides a literature survey on ABC, its variants and its applications in data clustering.","a review on artificial bee colony algorithms and their applications","Data clustering is an important data mining technique being widely"
"529","Kumar R.","planned honey bee pollination in litchi (litchi chinensis sonn.) - a new production strategy for enhancing fruit yield and quality in india",2014,"Acta Horticulturae","10.17660/ActaHortic.2014.1029.34","Pollination is a vital step in a litchi production system, as both fruit yield and quality are dependent on the extent of cross pollination. The extent of crosspollination and enhanced fruit setting in litchi is significantly carried out by honey bees in the region. The present study made on pollination recommendations and practices in litchi during the two-year period of 2009-10 and 2010-11 at NRC for litchi, Muzaffarpur, Bihar, which envisaged placing honey bees in litchi orchards, gives an important and practical solution for assuring adequate pollination and fruit set. The foraging studies, more particularly in litchi flowering season, have given an indication that a minimum range of 5 to 10 honey bee colonies per ha of litchi cultivation should be provided. This study is based on the tentative number of visits of honey bees per panicle in litchi orchards having 144 litchi plants/ha at a spacing of 8.0 m. The extent of pollination and fruit set exclusively by honey bees has been recorded under controlled pollination experiments. The assessment of fruit yield and quality attributes have shown quite encouraging results confirming the significant role of honeybees in planned bee pollination. The response of cross- versus selfpollination through controlled pollination has been found distinct in litchi ('Shahi') fruit production. No fruit set in the case of controlled pollination under cages indicated sterile flowers in the same tree. The present study clearly spelled the need for an abundance of insect pollinators in a planned way for pollen transfer to complete the process of cross pollination and fruit set to achieve potential yield and quality. The European honey bee (Apis mellifera) has been found the most efficient pollinator of litchi as compared to others.","planned honey bee pollination in litchi (litchi chinensis sonn.) -","Pollination is a vital step in a litchi production system,"
