Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Document Type,Source,Relevant,Region,Country,Habitat,Family,Genus species,Sex,ITD,Eusociality,Nesting,Lecty,Metric,N,distance_type,Distance,SD,SE,CI_95,Foraging trips cease (km),Communication ceases (km),Notes,follow_up
"Hagen M., Wikelski M., Kissling W.D.",Space use of bumblebees (Bombus spp.) revealed by radio-tracking,2011,PLoS ONE,6,5,e19997,,,,10.1371/journal.pone.0019997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956153059&doi=10.1371%2fjournal.pone.0019997&partnerID=40&md5=1c0e85e132a803de47b8a62a03394177,"Background: Accurate estimates of movement behavior and distances travelled by animals are difficult to obtain, especially for small-bodied insects where transmitter weights have prevented the use of radio-tracking. Methodology/Principal Findings: Here, we report the first successful use of micro radio telemetry to track flight distances and space use of bumblebees. Using ground surveys and Cessna overflights in a Central European rural landscape mosaic we obtained maximum flight distances of 2.5 km, 1.9 km and 1.3 km for Bombus terrestris (workers), Bombus ruderatus (worker), and Bombus hortorum (young queens), respectively. Bumblebee individuals used large areas (0.25-43.53 ha) within one or a few days. Habitat analyses of one B. hortorum queen at the landscape scale indicated that gardens within villages were used more often than expected from habitat availability. Detailed movement trajectories of this individual revealed that prominent landscape structures (e.g. trees) and flower patches were repeatedly visited. However, we also observed long (i.e. >45 min) resting periods between flights (B. hortorum) and differences in flower-handling between bumblebees with and without transmitters (B. terrestris) suggesting that the current weight of transmitters (200 mg) may still impose significant energetic costs on the insects. Conclusions/Significance: Spatio-temporal movements of bumblebees can now be tracked with telemetry methods. Our measured flight distances exceed many previous estimates of bumblebee foraging ranges and suggest that travelling long distances to food resources may be common. However, even the smallest currently available transmitters still appear to compromise flower handling performance and cause an increase in resting behavior of bees. Future reductions of transmitter mass and size could open up new avenues for quantifying landscape-scale space use of insect pollinators and could provide novel insights into the behavior and requirements of bumblebees during critical life stages, e.g. when searching for mates, nest locations or hibernation sites. Â© 2011 Hagen et al.",Article,Scopus,yes,Europe,Germany,mixed rural,Apidae,Bombus ruderatus,Female,,Social,,Polylectic,tracking,1,Max,1943,,,,,,"to check: Kreyer D, Oed A, Walther-Hellwig K, Frankl R (2004) Are forests potential landscape barriers for foraging bumblebees? Landscape scale experiments with Bombus terrestrisagg. and Bombus pascuorum (Hymenoptera, Apidae). Biological",
"Hagen M., Wikelski M., Kissling W.D.",Space use of bumblebees (Bombus spp.) revealed by radio-tracking,2011,PLoS ONE,6,5,e19997,,,,10.1371/journal.pone.0019997,https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956153059&doi=10.1371%2fjournal.pone.0019997&partnerID=40&md5=1c0e85e132a803de47b8a62a03394177,"Background: Accurate estimates of movement behavior and distances travelled by animals are difficult to obtain, especially for small-bodied insects where transmitter weights have prevented the use of radio-tracking. Methodology/Principal Findings: Here, we report the first successful use of micro radio telemetry to track flight distances and space use of bumblebees. Using ground surveys and Cessna overflights in a Central European rural landscape mosaic we obtained maximum flight distances of 2.5 km, 1.9 km and 1.3 km for Bombus terrestris (workers), Bombus ruderatus (worker), and Bombus hortorum (young queens), respectively. Bumblebee individuals used large areas (0.25-43.53 ha) within one or a few days. Habitat analyses of one B. hortorum queen at the landscape scale indicated that gardens within villages were used more often than expected from habitat availability. Detailed movement trajectories of this individual revealed that prominent landscape structures (e.g. trees) and flower patches were repeatedly visited. However, we also observed long (i.e. >45 min) resting periods between flights (B. hortorum) and differences in flower-handling between bumblebees with and without transmitters (B. terrestris) suggesting that the current weight of transmitters (200 mg) may still impose significant energetic costs on the insects. Conclusions/Significance: Spatio-temporal movements of bumblebees can now be tracked with telemetry methods. Our measured flight distances exceed many previous estimates of bumblebee foraging ranges and suggest that travelling long distances to food resources may be common. However, even the smallest currently available transmitters still appear to compromise flower handling performance and cause an increase in resting behavior of bees. Future reductions of transmitter mass and size could open up new avenues for quantifying landscape-scale space use of insect pollinators and could provide novel insights into the behavior and requirements of bumblebees during critical life stages, e.g. when searching for mates, nest locations or hibernation sites. Â© 2011 Hagen et al.",Article,Scopus,yes,Europe,Germany,mixed rural,Apidae,Bombus terrestris,Female,,Social,,Polylectic,tracking,4,Max,2535,,,,,,"to check: Kreyer D, Oed A, Walther-Hellwig K, Frankl R (2004) Are forests potential landscape barriers for foraging bumblebees? Landscape scale experiments with Bombus terrestrisagg. and Bombus pascuorum (Hymenoptera, Apidae). Biological",
"Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.","Foraging range of honey bees, Apis mellifera, in alfalfa seed production fields",2011,Journal of Insect Science,11,,144,,,,10.1673/031.011.14401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857353008&doi=10.1673%2f031.011.14401&partnerID=40&md5=271926168b17c829a3ce9db434601ab1,"A study was conducted in 2006 and 2007 designed to examine the foraging range of honey bees, Apis mellifera (Hymenoptera: Apidae), in a 15.2 km 2 area dominated by a 128.9 ha glyphosateresistant Roundup ReadyÂ® alfalfa seed production field and several non-Roundup Ready alfalfa seed production fields (totaling 120.2 ha). Each year, honey bee self-marking devices were placed on 112 selected honey bee colonies originating from nine different apiary locations. The foraging bees exiting each apiary location were uniquely marked so that the apiary of origin and the distance traveled by the marked (field-collected) bees into each of the alfalfa fields could be pinpointed. Honey bee self-marking devices were installed on 14.4 and 11.2% of the total hives located within the research area in 2006 and 2007, respectively. The frequency of field-collected bees possessing a distinct mark was similar, averaging 14.0% in 2006 and 12.6% in 2007. A grand total of 12,266 bees were collected from the various alfalfa fields on seven sampling dates over the course of the study. The distances traveled by marked bees ranged from a minimum of 45 m to a maximum of 5983 m. On average, marked bees were recovered âˆ¼ 800 m from their apiary of origin and the recovery rate of marked bees decreased exponentially as the distance from the apiary of origin increased. Ultimately, these data will be used to identify the extent of pollen-mediated gene flow from Roundup Ready to conventional alfalfa.",Article,Scopus,yes,North America,USA,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,mark recapture,614,Max,3165,,,,,,2006,
"Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.","Foraging range of honey bees, Apis mellifera, in alfalfa seed production fields",2011,Journal of Insect Science,11,,144,,,,10.1673/031.011.14401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857353008&doi=10.1673%2f031.011.14401&partnerID=40&md5=271926168b17c829a3ce9db434601ab1,"A study was conducted in 2006 and 2007 designed to examine the foraging range of honey bees, Apis mellifera (Hymenoptera: Apidae), in a 15.2 km 2 area dominated by a 128.9 ha glyphosateresistant Roundup ReadyÂ® alfalfa seed production field and several non-Roundup Ready alfalfa seed production fields (totaling 120.2 ha). Each year, honey bee self-marking devices were placed on 112 selected honey bee colonies originating from nine different apiary locations. The foraging bees exiting each apiary location were uniquely marked so that the apiary of origin and the distance traveled by the marked (field-collected) bees into each of the alfalfa fields could be pinpointed. Honey bee self-marking devices were installed on 14.4 and 11.2% of the total hives located within the research area in 2006 and 2007, respectively. The frequency of field-collected bees possessing a distinct mark was similar, averaging 14.0% in 2006 and 12.6% in 2007. A grand total of 12,266 bees were collected from the various alfalfa fields on seven sampling dates over the course of the study. The distances traveled by marked bees ranged from a minimum of 45 m to a maximum of 5983 m. On average, marked bees were recovered âˆ¼ 800 m from their apiary of origin and the recovery rate of marked bees decreased exponentially as the distance from the apiary of origin increased. Ultimately, these data will be used to identify the extent of pollen-mediated gene flow from Roundup Ready to conventional alfalfa.",Article,Scopus,yes,North America,USA,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,mark recapture,991,Max,5983,,,,,,2007,
"Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.","Foraging range of honey bees, Apis mellifera, in alfalfa seed production fields",2011,Journal of Insect Science,11,,144,,,,10.1673/031.011.14401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857353008&doi=10.1673%2f031.011.14401&partnerID=40&md5=271926168b17c829a3ce9db434601ab1,"A study was conducted in 2006 and 2007 designed to examine the foraging range of honey bees, Apis mellifera (Hymenoptera: Apidae), in a 15.2 km 2 area dominated by a 128.9 ha glyphosateresistant Roundup ReadyÂ® alfalfa seed production field and several non-Roundup Ready alfalfa seed production fields (totaling 120.2 ha). Each year, honey bee self-marking devices were placed on 112 selected honey bee colonies originating from nine different apiary locations. The foraging bees exiting each apiary location were uniquely marked so that the apiary of origin and the distance traveled by the marked (field-collected) bees into each of the alfalfa fields could be pinpointed. Honey bee self-marking devices were installed on 14.4 and 11.2% of the total hives located within the research area in 2006 and 2007, respectively. The frequency of field-collected bees possessing a distinct mark was similar, averaging 14.0% in 2006 and 12.6% in 2007. A grand total of 12,266 bees were collected from the various alfalfa fields on seven sampling dates over the course of the study. The distances traveled by marked bees ranged from a minimum of 45 m to a maximum of 5983 m. On average, marked bees were recovered âˆ¼ 800 m from their apiary of origin and the recovery rate of marked bees decreased exponentially as the distance from the apiary of origin increased. Ultimately, these data will be used to identify the extent of pollen-mediated gene flow from Roundup Ready to conventional alfalfa.",Article,Scopus,yes,North America,USA,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,mark recapture,614,Mean,738.1,732,,,,,2006,
"Hagler J.R., Mueller S., Teuber L.R., MacHtley S.A., Van Deynze A.","Foraging range of honey bees, Apis mellifera, in alfalfa seed production fields",2011,Journal of Insect Science,11,,144,,,,10.1673/031.011.14401,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857353008&doi=10.1673%2f031.011.14401&partnerID=40&md5=271926168b17c829a3ce9db434601ab1,"A study was conducted in 2006 and 2007 designed to examine the foraging range of honey bees, Apis mellifera (Hymenoptera: Apidae), in a 15.2 km 2 area dominated by a 128.9 ha glyphosateresistant Roundup ReadyÂ® alfalfa seed production field and several non-Roundup Ready alfalfa seed production fields (totaling 120.2 ha). Each year, honey bee self-marking devices were placed on 112 selected honey bee colonies originating from nine different apiary locations. The foraging bees exiting each apiary location were uniquely marked so that the apiary of origin and the distance traveled by the marked (field-collected) bees into each of the alfalfa fields could be pinpointed. Honey bee self-marking devices were installed on 14.4 and 11.2% of the total hives located within the research area in 2006 and 2007, respectively. The frequency of field-collected bees possessing a distinct mark was similar, averaging 14.0% in 2006 and 12.6% in 2007. A grand total of 12,266 bees were collected from the various alfalfa fields on seven sampling dates over the course of the study. The distances traveled by marked bees ranged from a minimum of 45 m to a maximum of 5983 m. On average, marked bees were recovered âˆ¼ 800 m from their apiary of origin and the recovery rate of marked bees decreased exponentially as the distance from the apiary of origin increased. Ultimately, these data will be used to identify the extent of pollen-mediated gene flow from Roundup Ready to conventional alfalfa.",Article,Scopus,yes,North America,USA,Agriculture,Apidae,Apis mellifera,Female,,Social,,Polylectic,mark recapture,991,Mean,864.9,919,,,,,2007,
Hembach (1993),,1993,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Osmia adunca,NA,,,,,host plant association,NA,Max,180,,,,,Foraging distance - german,no_access_LK,
Herrmann (1999),,1999,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Chelostoma florisomne,NA,,,,,homing,6,Max,2000,,,,,Homing distance - german,no_access_LK,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma florisomne,Female,1.5,Solitary,,Oligolectic,mark recapture,,Max,174,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma florisomne,Female,1.5,Solitary,,Oligolectic,mark recapture,,Mean,82,58.7,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma rapunculi,Female,1.5,Solitary,,Oligolectic,mark recapture,,Max,178,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma rapunculi,Female,1.5,Solitary,,Oligolectic,mark recapture,,Mean,104,45.2,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma rapunculi,Male,1.5,Solitary,,Oligolectic,mark recapture,,Max,119,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Chelostoma rapunculi,Male,1.5,Solitary,,Oligolectic,mark recapture,,Mean,59,34.5,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Heriades truncorum,Female,,Solitary,,Oligolectic,mark recapture,,Max,298,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Heriades truncorum,Female,,Solitary,,Oligolectic,mark recapture,,Mean,73,62.6,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Hoplitis adunca,Female,,Solitary,,Oligolectic,mark recapture,,Max,287,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Hoplitis adunca,Female,,Solitary,,Oligolectic,mark recapture,,Mean,112,77.3,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia bicornis,Female,,Solitary,,Polylectic,mark recapture,,Max,250,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia bicornis,Female,,Solitary,,Polylectic,mark recapture,,Mean,121,44.6,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia bicornis,Male,,Solitary,,Polylectic,mark recapture,,Max,151,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia bicornis,Male,,Solitary,,Polylectic,mark recapture,,Mean,100,40.3,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Female,,Solitary,,Polylectic,mark recapture,,Max,724,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Female,,Solitary,,Polylectic,mark recapture,,Max,226,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Female,,Solitary,,Polylectic,mark recapture,,Mean,106,107.5,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Female,,Solitary,,Polylectic,mark recapture,,Mean,107,67.9,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Male,,Solitary,,Polylectic,mark recapture,,Max,225,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Male,,Solitary,,Polylectic,mark recapture,,Max,215,,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Male,,Solitary,,Polylectic,mark recapture,,Mean,96,39,,,,,,
Hofmann et al (2020),"Foraging distances in six species of solitary bees with body lengths of 6 to 15 mm, inferred from individual tagging, suggest 150 m-rule-of-thumb for flower strip distances.",2020,,,,,,,,,,,,Author,yes,Europe,Germany,urban,Megachilidae,Osmia cornuta,Male,,Solitary,,Polylectic,mark recapture,,Mean,77,52.5,,,,,,
Jaffe et al. (2016),,2016,,,,,,,,,,,,additional,yes,South America,Brazil,Agriculture,Apidae,Trigona spinipes,Female,,Social,,Polylectic,molecular,6,Max,8700,,,,,,,
Jaffe et al. (2016),,2016,,,,,,,,,,,,additional,yes,South America,Brazil,Agriculture,Apidae,Trigona spinipes,Female,,Social,,Polylectic,molecular,6,Mean,1742,3419,,,,,,
Janzen (1971),,1971,,,,,,,,,,,,GZ,yes,Central America,Costa Rica,lowland rainforest,Apidae,Eufriesea surinamensis,Female,5.6,,,,homing,,Max,23000,,,,,,yes_pdf,
"Jha S., Kremen C.",Resource diversity and landscape-level homogeneity drive native bee foraging,2013,Proceedings of the National Academy of Sciences of the United States of America,110,2,,555,558,,10.1073/pnas.1208682110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872196227&doi=10.1073%2fpnas.1208682110&partnerID=40&md5=a0b598517863d2b7db8e2c7b5ae3ef3d,"Given widespread declines in pollinator communities and increasing global reliance on pollinator-dependent crops, there is an acute need to develop a mechanistic understanding of native pollinator population and foraging biology. Using a population genetics approach, we determine the impact of habitat and floral resource distributions on nesting and foraging patterns of a critical native pollinator, Bombus vosnesenskii. Our findings demonstrate that native bee foraging is far more plastic and extensive than previously believed and does not follow a simple optimal foraging strategy. Rather, bumble bees forage further in pursuit of species-rich floral patches and in landscapes where patch-to-patch variation in floral resources is less, regardless of habitat composition. Thus, our results reveal extreme foraging plasticity and demonstrate that floral diversity, not density, drives bee foraging distance. Furthermore, we find a negative impact of paved habitat and a positive impact of natural woodland on bumble bee nesting densities. Overall, this study reveals that natural and human-altered landscapes can be managed for increased native bee nesting and extended foraging, dually enhancing biodiversity and the spatial extent of pollination services.",Article,Scopus,yes,North America,USA,Seminatural,Apidae,Bombus vosnesenskii,Female,,Social,,Polylectic,molecular,60,Max,2783,,,,,,,
"Jha S., Kremen C.",Resource diversity and landscape-level homogeneity drive native bee foraging,2013,Proceedings of the National Academy of Sciences of the United States of America,110,2,,555,558,,10.1073/pnas.1208682110,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872196227&doi=10.1073%2fpnas.1208682110&partnerID=40&md5=a0b598517863d2b7db8e2c7b5ae3ef3d,"Given widespread declines in pollinator communities and increasing global reliance on pollinator-dependent crops, there is an acute need to develop a mechanistic understanding of native pollinator population and foraging biology. Using a population genetics approach, we determine the impact of habitat and floral resource distributions on nesting and foraging patterns of a critical native pollinator, Bombus vosnesenskii. Our findings demonstrate that native bee foraging is far more plastic and extensive than previously believed and does not follow a simple optimal foraging strategy. Rather, bumble bees forage further in pursuit of species-rich floral patches and in landscapes where patch-to-patch variation in floral resources is less, regardless of habitat composition. Thus, our results reveal extreme foraging plasticity and demonstrate that floral diversity, not density, drives bee foraging distance. Furthermore, we find a negative impact of paved habitat and a positive impact of natural woodland on bumble bee nesting densities. Overall, this study reveals that natural and human-altered landscapes can be managed for increased native bee nesting and extended foraging, dually enhancing biodiversity and the spatial extent of pollination services.",Article,Scopus,yes,North America,USA,Seminatural,Apidae,Bombus vosnesenskii,Female,,Social,,Polylectic,molecular,60,Mean,600,,,,,,,
Kapyla (1978),,1978,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Chelostoma florisomne,Female,1.5,,,,mark recapture,,Mean,300,,,,,Observed distance - not sure if mean or max,no_access_LK,
Kapyla (1978),,1978,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Chelostoma florisomne,Male,1.6,,,,mark recapture,,Mean,100,,,,,Observed distance - not sure if mean or max,no_access_LK,
Kawamura (1954) in Kitamura (1969),,1954,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Osmia pedicornis,NA,3.3,,,,homing,,Mean,500,,,,,Observed distance - not sure if mean or max,no_access_LK,
Kitamura (1969),,1969,,,,,,,,,,,,GZ,yes,Asia,Japan,Agriculture,Megachilidae,Osmia cornifrons,NA,2.9,,,,homing,,Max,800,,,,,,no_access_LK,
Kitamura (1969),,1969,,,,,,,,,,,,GZ,yes,Asia,Japan,Agriculture,Megachilidae,Osmia cornifrons,NA,2.9,,,,homing,,Typical,600,,,,,,no_access_LK,
Kitamura (1969),,1969,,,,,,,,,,,,GZ,yes,,,,Megachilidae,Osmia pedicornis,Female,3.3,,,,homing,,Mean,700,,,,,Observed distance - not sure if mean or max,no_access_LK,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus lapidarius,Female,4.1,Social,,Polylectic,molecular,379,Max,1250,,,,,Maximum - largest distance with sister pair,yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus lapidarius,Female,4.1,Social,,Polylectic,molecular,379,Mean,450,,,,,"""Minimum maximum""",yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus pascuorum,Female,5.2,Social,,Polylectic,molecular,184,Max,1500,,,,,Maximum - largest distance with sister pair,yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus pascuorum,Female,5.2,Social,,Polylectic,molecular,184,Mean,449,,,,,"""Minimum maximum""",yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus pratorum,Female,5.1,Social,,Polylectic,molecular,203,Max,1500,,,,,Maximum - largest distance with sister pair,yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus pratorum,Female,5.1,Social,,Polylectic,molecular,203,Mean,674,,,,,"""Minimum maximum""",yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus terrestris,Female,3.5,Social,,Polylectic,molecular,203,Max,1500,,,,,Maximum - largest distance with sister pair,yes_pdf,
Knight et al. (2005),,2005,,,,,,,,,,,,GZ,yes,Europe,UK,Agriculture,Apidae,Bombus terrestris,Female,3.5,Social,,Polylectic,molecular,203,Mean,758,,,,,"""Minimum maximum""",yes_pdf,
"Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.",Adaptive evolution of honeybee dance dialects,2020,Proceedings of the Royal Society B: Biological Sciences,287,1922,20200190,,,,10.1098/rspb.2020.0190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081041721&doi=10.1098%2frspb.2020.0190&partnerID=40&md5=7eb77b6cc9de95abc0208c36f6158161,"Efficient communication is highly important for the evolutionary success of social animals. Honeybees (genus Apis) are unique in that they communicate the spatial information of resources using a symbolic 'language', the waggle dance. Different honeybee species differ in foraging ecology but it remains unknown whether this shaped variation in the dance. We studied distance dialects-interspecific differences in how waggle duration relates to flight distance-and tested the hypothesis that these evolved to maximize communication precision over the bees' foraging ranges. We performed feeder experiments with Apis cerana, A. florea and A. dorsata in India and found that A. cerana had the steepest dialect, i.e. a rapid increase in waggle duration with increasing feeder distance, A. florea had an intermediate, and A. dorsata had the lowest dialect. By decoding dances for natural food sites, we inferred that the foraging range was smallest in A. cerana, intermediate in A. florea and largest in A. dorsata. The inverse correlation between foraging range and dialect was corroborated when comparing six (sub)species across the geographical range of the genus including previously published data. We conclude that dance dialects constitute adaptations resulting from a trade-off between the spatial range and the spatial accuracy of communication. Â© 2020 The Author(s) Published by the Royal Society. All rights reserved.",Article,Scopus,yes,Asia,India,urban,Apidae,Apis cerana,Female,,Social,,Polylectic,waggle dance,123,Max,296.65,,,,,,,
"Kohl P.L., Thulasi N., Rutschmann B., George E.A., Steffan-Dewenter I., Brockmann A.",Adaptive evolution of honeybee dance dialects,2020,Proceedings of the Royal Society B: Biological Sciences,287,1922,20200190,,,,10.1098/rspb.2020.0190,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85081041721&doi=10.1098%2frspb.2020.0190&partnerID=40&md5=7eb77b6cc9de95abc0208c36f6158161,"Efficient communication is highly important for the evolutionary success of social animals. Honeybees (genus Apis) are unique in that they communicate the spatial information of resources using a symbolic 'language', the waggle dance. Different honeybee species differ in foraging ecology but it remains unknown whether this shaped variation in the dance. We studied distance dialects-interspecific differences in how waggle duration relates to flight distance-and tested the hypothesis that these evolved to maximize communication precision over the bees' foraging ranges. We performed feeder experiments with Apis cerana, A. florea and A. dorsata in India and found that A. cerana had the steepest dialect, i.e. a rapid increase in waggle duration with increasing feeder distance, A. florea had an intermediate, and A. dorsata had the lowest dialect. By decoding dances for natural food sites, we inferred that the foraging range was smallest in A. cerana, intermediate in A. florea and largest in A. dorsata. The inverse correlation between foraging range and dialect was corroborated when comparing six (sub)species across the geographical range of the genus including previously published data. We conclude that dance dialects constitute adaptations resulting from a trade-off between the spatial range and the spatial accuracy of communication. Â© 2020 The Author(s) Published by the Royal Society. All rights reserved.",Article,Scopus,yes,Asia,India,urban,Apidae,Apis cerana,Female,,Social,,Polylectic,waggle dance,110,Max,430.84,,,,,,,
